package,benchmark,before_ns_op,after_ns_op,change_percent,samples_per_revision
xxh64,BenchmarkSum64/4,3.147,3.146,-0.05,6
xxh64,BenchmarkSum64/8,3.367,3.367,0.01,6
xxh64,BenchmarkSum64/16,4.199,4.200,0.02,6
xxh64,BenchmarkSum64/31,7.997,7.995,-0.03,6
xxh64,BenchmarkSum64/32,7.647,7.639,-0.10,6
xxh64,BenchmarkSum64/64,8.739,8.742,0.03,6
xxh64,BenchmarkSum64/128,12.065,12.060,-0.04,6
xxh64,BenchmarkSum64/256,16.830,16.815,-0.09,6
xxh64,BenchmarkSum64/1024,45.405,45.370,-0.08,6
xxh64,BenchmarkSum64/4096,158.700,158.700,0.00,6
xxh64,BenchmarkSum64/16384,611.650,611.850,0.03,6
xxh64,BenchmarkSum64/65536,2435.000,2437.000,0.08,6
xxh64,BenchmarkSum64/1048576,45101.500,43535.500,-3.47,6
xxh64,BenchmarkSum64String,7.652,7.647,-0.07,6
xxh64,BenchmarkDigest/64,16.930,16.855,-0.44,6
xxh64,BenchmarkDigest/256,24.190,24.195,0.02,6
xxh64,BenchmarkDigest/1024,52.145,52.810,1.28,6
xxh64,BenchmarkDigest/16384,618.800,619.600,0.13,6
xxh64,BenchmarkDigest/1048576,44959.500,44370.500,-1.31,6
xxh64,BenchmarkBackends/madd/4,3.165,3.167,0.08,6
xxh64,BenchmarkBackends/madd/8,3.366,3.369,0.09,6
xxh64,BenchmarkBackends/madd/16,4.197,4.199,0.02,6
xxh64,BenchmarkBackends/madd/32,7.641,7.647,0.07,6
xxh64,BenchmarkBackends/madd/64,8.739,8.746,0.08,6
xxh64,BenchmarkBackends/madd/256,16.815,16.825,0.06,6
xxh64,BenchmarkBackends/madd/1024,45.365,45.400,0.08,6
xxh64,BenchmarkBackends/madd/65536,2436.000,2438.500,0.10,6
xxh64,BenchmarkBackends/muladd/4,3.145,3.151,0.17,6
xxh64,BenchmarkBackends/muladd/8,3.370,3.367,-0.12,6
xxh64,BenchmarkBackends/muladd/16,4.201,4.197,-0.08,6
xxh64,BenchmarkBackends/muladd/32,7.971,7.959,-0.15,6
xxh64,BenchmarkBackends/muladd/64,9.523,9.511,-0.12,6
xxh64,BenchmarkBackends/muladd/256,20.070,20.050,-0.10,6
xxh64,BenchmarkBackends/muladd/1024,56.490,56.445,-0.08,6
xxh64,BenchmarkBackends/muladd/65536,3104.000,3100.000,-0.13,6
xxh64,BenchmarkDigestChunked/1,314088.000,240020.000,-23.58,6
xxh64,BenchmarkDigestChunked/4,79113.000,60165.500,-23.95,6
xxh64,BenchmarkDigestChunked/8,42879.500,34755.500,-18.95,6
xxh64,BenchmarkDigestChunked/16,25161.000,22379.000,-11.06,6
xxh64,BenchmarkDigestChunked/31,23109.500,22636.500,-2.05,6
xxh64,BenchmarkDigestChunked/32,14315.500,13624.000,-4.83,6
xxh64,BenchmarkDigestChunked/33,22377.500,21940.000,-1.96,6
xxh64,BenchmarkDigestChunked/64,8269.000,8236.500,-0.39,6
xxh64,BenchmarkDigestChunked/256,4004.000,4021.000,0.42,6
xxh64,BenchmarkDigestChunked/1024,2875.000,2838.000,-1.29,6
xxh64,BenchmarkDigestChunked/4096,2537.500,2547.000,0.37,6
xxh64,BenchmarkSum64Seed/4,3.152,3.152,0.02,6
xxh64,BenchmarkSum64Seed/8,3.413,3.412,-0.01,6
xxh64,BenchmarkSum64Seed/16,4.244,4.244,0.00,6
xxh64,BenchmarkSum64Seed/31,8.025,8.027,0.03,6
xxh64,BenchmarkSum64Seed/32,7.683,7.683,0.01,6
xxh64,BenchmarkSum64Seed/64,8.791,8.788,-0.03,6
xxh64,BenchmarkSum64Seed/128,12.080,12.080,0.00,6
xxh64,BenchmarkSum64Seed/256,16.855,16.845,-0.06,6
xxh64,BenchmarkSum64Seed/1024,45.370,45.380,0.02,6
xxh64,BenchmarkSum64Seed/4096,158.700,158.700,0.00,6
xxh64,BenchmarkSum64Seed/16384,611.800,611.950,0.02,6
xxh64,BenchmarkSum64Seed/65536,2435.000,2435.500,0.02,6
xxh64,BenchmarkSum64Seed/1048576,45017.000,44032.500,-2.19,6
xxh64,BenchmarkFixed/Uint32,2.366,2.366,0.00,6
xxh64,BenchmarkFixed/Uint32Seed,2.361,2.360,-0.02,6
xxh64,BenchmarkFixed/Uint64,2.832,2.831,-0.02,6
xxh64,BenchmarkFixed/Uint64Seed,2.855,2.854,-0.02,6
xxh64,BenchmarkFixed/Uint128,3.085,3.085,-0.02,6
xxh64,BenchmarkFixed/Uint128Seed,3.088,3.085,-0.08,6
xxh3,BenchmarkSum64/4,2.869,2.868,-0.02,6
xxh3,BenchmarkSum64/8,2.877,2.875,-0.05,6
xxh3,BenchmarkSum64/16,3.159,3.103,-1.77,6
xxh3,BenchmarkSum64/32,3.808,3.778,-0.77,6
xxh3,BenchmarkSum64/64,5.521,5.525,0.06,6
xxh3,BenchmarkSum64/128,8.891,8.888,-0.03,6
xxh3,BenchmarkSum64/240,15.870,15.870,0.00,6
xxh3,BenchmarkSum64/256,17.820,17.865,0.25,6
xxh3,BenchmarkSum64/512,25.980,25.980,0.00,6
xxh3,BenchmarkSum64/1024,41.850,41.795,-0.13,6
xxh3,BenchmarkSum64/2048,76.950,77.170,0.29,6
xxh3,BenchmarkSum64/4096,147.400,147.650,0.17,6
xxh3,BenchmarkSum64/8192,288.550,288.500,-0.02,6
xxh3,BenchmarkSum64/16384,570.800,570.700,-0.02,6
xxh3,BenchmarkSum64/65536,2284.000,2281.000,-0.13,6
xxh3,BenchmarkSum64/1048576,41278.500,42775.000,3.63,6
xxh3,BenchmarkSum128/4,3.702,3.733,0.85,6
xxh3,BenchmarkSum128/8,3.716,3.749,0.87,6
xxh3,BenchmarkSum128/16,4.775,4.769,-0.13,6
xxh3,BenchmarkSum128/32,5.412,5.410,-0.02,6
xxh3,BenchmarkSum128/64,7.454,7.453,-0.01,6
xxh3,BenchmarkSum128/128,11.320,11.320,0.00,6
xxh3,BenchmarkSum128/240,20.110,20.105,-0.02,6
xxh3,BenchmarkSum128/256,22.230,22.330,0.45,6
xxh3,BenchmarkSum128/512,30.355,30.530,0.58,6
xxh3,BenchmarkSum128/1024,46.290,46.700,0.89,6
xxh3,BenchmarkSum128/2048,81.920,81.735,-0.23,6
xxh3,BenchmarkSum128/4096,152.250,152.250,0.00,6
xxh3,BenchmarkSum128/8192,293.350,293.300,-0.02,6
xxh3,BenchmarkSum128/16384,580.150,575.500,-0.80,6
xxh3,BenchmarkSum128/65536,2287.500,2285.000,-0.11,6
xxh3,BenchmarkSum128/1048576,41388.000,42248.000,2.08,6
xxh3,BenchmarkSum64Seed/8,3.325,3.307,-0.53,6
xxh3,BenchmarkSum64Seed/64,7.074,7.067,-0.10,6
xxh3,BenchmarkSum64Seed/240,18.760,18.760,0.00,6
xxh3,BenchmarkSum64Seed/1024,57.265,53.105,-7.26,6
xxh3,BenchmarkSum64Seed/65536,2300.000,2297.500,-0.11,6
xxh3,BenchmarkSum64String,3.760,3.761,0.05,6
xxh3,BenchmarkDigest/64,10.135,9.976,-1.57,6
xxh3,BenchmarkDigest/256,35.875,35.915,0.11,6
xxh3,BenchmarkDigest/1024,75.270,75.370,0.13,6
xxh3,BenchmarkDigest/16384,593.600,591.900,-0.29,6
