package,build,benchmark,before_ns,after_ns,change_pct,before_B_op,after_B_op,before_allocs_op,after_allocs_op,samples_per_revision,before_min_ns,before_max_ns,after_min_ns,after_max_ns
xxh3,native,BenchmarkDigest/64,10.11,10.19,0.791,0.0,0.0,0.0,0.0,6,10.09,10.17,10.17,10.2
xxh3,native,BenchmarkDigest/256,36.02,28.06,-22.099,0.0,0.0,0.0,0.0,6,35.99,36.84,28.05,28.1
xxh3,native,BenchmarkDigest/1024,75.655,67.055,-11.367,0.0,0.0,0.0,0.0,6,75.62,75.71,67.02,67.12
xxh3,native,BenchmarkDigest/16384,593.4,594.25,0.143,0.0,0.0,0.0,0.0,6,593.3,599.1,594.0,595.1
xxh3,native,BenchmarkDigest/1048576,41889.0,41309.5,-1.383,0.0,0.0,0.0,0.0,6,41159.0,42521.0,38918.0,43228.0
xxh3,native,BenchmarkDigestChunked/16,291630.5,290437.5,-0.409,0.0,0.0,0.0,0.0,6,291232.0,291977.0,289997.0,291435.0
xxh3,native,BenchmarkDigestChunked/32,175328.5,175300.0,-0.016,0.0,0.0,0.0,0.0,6,175004.0,176625.0,175186.0,176566.0
xxh3,native,BenchmarkDigestChunked/64,116277.5,116566.0,0.248,0.0,0.0,0.0,0.0,6,116067.0,116511.0,116050.0,116904.0
xxh3,native,BenchmarkDigestChunked/128,98116.0,98301.0,0.189,0.0,0.0,0.0,0.0,6,97619.0,98664.0,98231.0,103563.0
xxh3,native,BenchmarkDigestChunked/256,90529.5,89317.0,-1.339,0.0,0.0,0.0,0.0,6,90378.0,90906.0,89106.0,90648.0
xxh3,native,BenchmarkDigestChunked/512,82860.0,82318.5,-0.654,0.0,0.0,0.0,0.0,6,82391.0,83590.0,81983.0,83609.0
xxh3,native,BenchmarkDigestChunked/1024,52928.5,52730.0,-0.375,0.0,0.0,0.0,0.0,6,52134.0,53479.0,52347.0,53689.0
xxh3,native,BenchmarkDigestChunked/4096,44662.5,44588.0,-0.167,0.0,0.0,0.0,0.0,6,44218.0,45836.0,44095.0,46223.0
xxh3,native,BenchmarkDigestChunked/65536,42658.0,42743.0,0.199,0.0,0.0,0.0,0.0,6,40449.0,43737.0,40478.0,43951.0
xxh3,native,BenchmarkNewSeed,290.15,289.5,-0.224,1536.0,1536.0,1.0,1.0,6,287.0,291.2,287.3,293.2
xxh3,native,BenchmarkDigestLocal/64/Default,37.925,38.065,0.369,0.0,0.0,0.0,0.0,6,37.91,37.95,38.06,38.1
